ticker,year,region,cont,value_M,pct,lat,lon,verified,source
MINT,2564,ยุโรป,Europe,35902,63,50,10,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,ยุโรป,Europe,69196,69,50,10,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,ยุโรป,Europe,80495,67,50,10,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,ยุโรป,Europe,87842,67,50,10,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,ยุโรป,Europe,88477,67,50,10,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2564,ออสเตรเลีย/นิวซีแลนด์,Oceania,7918,14,-32,147,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,ออสเตรเลีย/นิวซีแลนด์,Oceania,13287,13,-32,147,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,ออสเตรเลีย/นิวซีแลนด์,Oceania,13762,11,-32,147,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,ออสเตรเลีย/นิวซีแลนด์,Oceania,14155,11,-32,147,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,ออสเตรเลีย/นิวซีแลนด์,Oceania,14545,11,-32,147,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2564,ละตินอเมริกา,Americas,1186,2,-15,-58,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,ละตินอเมริกา,Americas,2007,2,-15,-58,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,ละตินอเมริกา,Americas,8476,7,-15,-58,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,ละตินอเมริกา,Americas,9956,8,-15,-58,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,ละตินอเมริกา,Americas,9281,7,-15,-58,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2564,มัลดีฟส์/ตะวันออกกลาง,Middle East,2105,4,18,50,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,มัลดีฟส์/ตะวันออกกลาง,Middle East,2938,3,18,50,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,มัลดีฟส์/ตะวันออกกลาง,Middle East,3006,2,18,50,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,มัลดีฟส์/ตะวันออกกลาง,Middle East,3585,3,18,50,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,มัลดีฟส์/ตะวันออกกลาง,Middle East,3616,3,18,50,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2564,จีน,Asia,4336,8,34,108,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,จีน,Asia,3801,4,34,108,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,จีน,Asia,4473,4,34,108,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,จีน,Asia,3505,3,34,108,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,จีน,Asia,3279,2,34,108,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2564,อื่น ๆ,Other,5729,10,8,78,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2565,อื่น ๆ,Other,8566,9,8,78,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2566,อื่น ๆ,Other,10630,9,8,78,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2567,อื่น ๆ,Other,12320,9,8,78,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
MINT,2568,อื่น ๆ,Other,12803,10,8,78,1,หมายเหตุ segment ภูมิศาสตร์ (ฉบับล่าสุดของปี)
DUSIT,2568,มัลดีฟส์,Asia,892,10,3,73,0,ประมาณการ (รอยืนยัน)
DUSIT,2568,ฟิลิปปินส์,Asia,892,10,13,122,0,ประมาณการ (รอยืนยัน)
DUSIT,2568,ตะวันออกกลาง,Middle East,625,7,25,53,0,ประมาณการ (รอยืนยัน)
DUSIT,2568,อียิปต์/สหรัฐฯ,Africa,446,5,26,30,0,ประมาณการ (รอยืนยัน)
CENTEL,2564,มัลดีฟส์,Asia,1011,100,3,73,1,Base Sheet intl (ก่อนเปิดโอซาก้า = มัลดีฟส์ล้วน)
CENTEL,2565,มัลดีฟส์,Asia,1425,100,3,73,1,CENTEL งบ FY2566 ส่วนงานภูมิศาสตร์
CENTEL,2566,มัลดีฟส์,Asia,1451,70,3,73,1,CENTEL งบ FY2567 ส่วนงานภูมิศาสตร์
CENTEL,2567,มัลดีฟส์,Asia,1329,49,3,73,1,CENTEL น.87 ส่วนงานภูมิศาสตร์
CENTEL,2568,มัลดีฟส์,Asia,1907,55,3,73,1,CENTEL น.87 ส่วนงานภูมิศาสตร์
CENTEL,2564,ญี่ปุ่น,Asia,0,0,36,138,1,Centara Osaka เปิด 2566 (ก่อนหน้า = 0)
CENTEL,2565,ญี่ปุ่น,Asia,0,0,36,138,1,Centara Osaka เปิด 2566 (ก่อนหน้า = 0)
CENTEL,2566,ญี่ปุ่น,Asia,636,30,36,138,1,CENTEL งบ FY2567 ส่วนงานภูมิศาสตร์ (Osaka ปีแรก)
CENTEL,2567,ญี่ปุ่น,Asia,1434,53,36,138,1,CENTEL น.87 ส่วนงานภูมิศาสตร์
CENTEL,2568,ญี่ปุ่น,Asia,1554,45,36,138,1,CENTEL น.87 ส่วนงานภูมิศาสตร์
ERW,2564,ฟิลิปปินส์,Asia,156,100,13,122,1,One Report FY2565 (รายได้ภูมิศาสตร์)
ERW,2565,ฟิลิปปินส์,Asia,323,100,13,122,1,One Report FY2566 (รายได้ภูมิศาสตร์)
ERW,2566,ฟิลิปปินส์,Asia,504,100,13,122,1,One Report FY2567 (รายได้ภูมิศาสตร์)
ERW,2567,ฟิลิปปินส์,Asia,578,66,13,122,1,One Report 2025 น.229 (รายได้ภูมิศาสตร์)
ERW,2568,ฟิลิปปินส์,Asia,625,64,13,122,1,One Report 2025 น.229 (รายได้ภูมิศาสตร์)
ERW,2564,ญี่ปุ่น,Asia,0,0,36,138,1,ยังไม่เข้าตลาดญี่ปุ่น
ERW,2565,ญี่ปุ่น,Asia,0,0,36,138,1,ยังไม่เข้าตลาดญี่ปุ่น
ERW,2566,ญี่ปุ่น,Asia,0,0,36,138,1,ยังไม่เข้าตลาดญี่ปุ่น (งบ FY2567 แสดง —)
ERW,2567,ญี่ปุ่น,Asia,278,32,36,138,1,One Report 2025 น.229 (รายได้ภูมิศาสตร์)
ERW,2568,ญี่ปุ่น,Asia,349,36,36,138,1,One Report 2025 น.229 (รายได้ภูมิศาสตร์)
SHR,2564,สหราชอาณาจักร,Europe,2591,61,54,-2,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2565,สหราชอาณาจักร,Europe,3657,48,54,-2,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2566,สหราชอาณาจักร,Europe,3951,50,54,-2,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2567,สหราชอาณาจักร,Europe,3714,44,54,-2,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2568,สหราชอาณาจักร,Europe,3404,42,54,-2,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2564,มัลดีฟส์,Asia,1639,38,3,73,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2565,มัลดีฟส์,Asia,2486,33,3,73,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2566,มัลดีฟส์,Asia,2545,32,3,73,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2567,มัลดีฟส์,Asia,2714,32,3,73,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2568,มัลดีฟส์,Asia,2604,32,3,73,1,SHR หมายเหตุ segment (ฉบับล่าสุดของปี)
SHR,2564,มอริเชียส,Africa,90,2,-20,57,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2565,มอริเชียส,Africa,686,9,-20,57,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2566,มอริเชียส,Africa,646,8,-20,57,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2567,มอริเชียส,Africa,910,11,-20,57,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2568,มอริเชียส,Africa,895,11,-20,57,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2564,ฟิจิ,Oceania,113,3,-17,178,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2565,ฟิจิ,Oceania,859,11,-17,178,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2566,ฟิจิ,Oceania,810,10,-17,178,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2567,ฟิจิ,Oceania,1139,13,-17,178,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
SHR,2568,ฟิจิ,Oceania,1120,14,-17,178,0,Outrigger verified · แยกมอริเชียส/ฟิจิ ประมาณ 44:56
