ticker,year,total_M,intl_M,dom_M,intl_pct,div
ASIA,2564,599.9,111.0,488.8,18.5,0
ASIA,2565,924.3,130.3,793.9,14.1,0
ASIA,2566,1188.5,130.3,1058.2,11.0,0
ASIA,2567,1320.2,130.6,1189.7,9.9,0
ASIA,2568,1364.6,121.6,1243.0,8.9,0
CENTEL,2564,11635.0,1011.0,10624.0,8.7,0
CENTEL,2565,18216.0,1425.0,16791.0,7.8,0
CENTEL,2566,22547.0,2087.0,20460.0,9.3,0
CENTEL,2567,24239.3,2728.1,21511.2,11.3,0
CENTEL,2568,25300.0,3447.8,21852.2,13.6,0
DUSIT,2564,2385.9,1301.1,1084.8,54.5,1
DUSIT,2565,4499.8,1962.0,2537.8,43.6,1
DUSIT,2566,5995.9,2390.3,3605.6,39.9,1
DUSIT,2567,10731.4,2721.7,8009.8,25.4,1
DUSIT,2568,8504.7,2730.8,5773.8,32.1,1
ERW,2564,1641.3,168.3,1472.9,10.3,0
ERW,2565,4717.3,378.2,4339.1,8.0,0
ERW,2566,7046.3,511.1,6535.2,7.3,0
ERW,2567,8053.9,870.1,7183.8,10.8,0
ERW,2568,7937.4,976.8,6960.5,12.3,0
MANRIN,2564,25.8,0.0,25.8,0.0,0
MANRIN,2565,167.6,0.0,167.6,0.0,0
MANRIN,2566,325.6,0.0,325.6,0.0,0
MANRIN,2567,377.1,0.0,377.1,0.0,0
MANRIN,2568,363.4,0.0,363.4,0.0,0
MINT,2564,76211.3,57177.4,19033.9,75.0,1
MINT,2565,126306.8,99794.9,26511.9,79.0,1
MINT,2566,153049.2,120842.9,32206.4,79.0,1
MINT,2567,165362.3,131364.1,33998.2,79.4,1
MINT,2568,165804.7,132002.0,33802.7,79.6,1
OHTL,2564,562.0,0.0,562.0,0.0,0
OHTL,2565,1927.8,0.0,1927.8,0.0,0
OHTL,2566,2516.8,0.0,2516.8,0.0,0
OHTL,2567,2701.8,0.0,2701.8,0.0,0
OHTL,2568,2522.3,0.0,2522.3,0.0,0
SHANG,2564,355.9,0.0,355.9,0.0,0
SHANG,2565,1201.0,0.0,1201.0,0.0,0
SHANG,2566,2186.2,0.0,2186.2,0.0,0
SHANG,2567,2430.2,0.0,2430.2,0.0,0
SHANG,2568,2153.4,0.0,2153.4,0.0,0
SHR,2564,4512.5,4278.5,234.0,94.8,1
SHR,2565,8692.6,7611.7,1080.8,87.6,1
SHR,2566,9701.1,7952.6,1748.5,82.0,1
SHR,2567,10352.2,8476.5,1875.8,81.9,1
SHR,2568,10299.3,8021.5,2277.9,77.9,1
VRANDA,2564,1307.5,0.0,1307.5,0.0,0
VRANDA,2565,1365.8,0.0,1365.8,0.0,0
VRANDA,2566,1401.6,0.0,1401.6,0.0,0
VRANDA,2567,1536.8,0.0,1536.8,0.0,0
VRANDA,2568,1577.2,0.0,1577.2,0.0,0
