,สัดส่วนในและนอกประเทศ,,,,,,,
,,2564/2021,2565/2022,2566/2023,2567/2024,2568/2025,,
ASIA,Domenestic,"488,810","793,950","1,058,150","1,189,670","1,242,990",,
,International,"111,040","130,350","130,330","130,580","121,570",,
,Total,"599,850","924,300","1,188,480","1,320,250","1,364,560",,
CENTEL,Domenestic,"10,624,000,000","16,791,000,000","20,460,000,000","21,511,200,000","21,852,200,000",,
,International,"1,011,000,000","1,425,000,000","2,087,000,000","2,728,100,000","3,447,800,000",,
,Total,"11,635,000,000","18,216,000,000","22,547,000,000","24,239,300,000","25,300,000,000",,
DUSIT,Domenestic,"1,084,767,000","2,537,751,000","3,605,601,000","8,009,750,000","5,773,850,000",,
,International,"1,301,111,000","1,962,010,000","2,390,275,000","2,721,673,000","2,730,825,000",,
,Total,"2,385,878,000","4,499,761,000","5,995,876,000","10,731,423,000","8,504,675,000",,
ERW,Domenestic,"1,472,918,000","4,339,089,000","6,535,208,000","7,183,809,000","6,960,548,000",,
,International,"168,340,000","378,199,000","511,082,000","870,117,000","976,844,000",,
,Total,"1,641,258,000","4,717,288,000","7,046,290,000","8,053,926,000","7,937,392,000",,
MANRIN,Domenestic,"25,800,000","167,570,000","325,600,000","377,050,000","363,373,000",,
,International,0,0,0,0,0,,
,Total,"25,800,000","167,570,000","325,600,000","377,050,000","363,373,000",,
MINT,Domenestic,"19,033,867,870","26,511,932,290","32,206,376,270","33,998,171,540","33,802,703,620",,
,International,"57,177,393,560","99,794,871,390","120,842,865,290","131,364,100,650","132,002,010,450",,
,Total,"76,211,261,430","126,306,803,680","153,049,241,560","165,362,272,190","165,804,714,070",,
OHTL,Domenestic,"561,998,000","1,927,771,000","2,516,823,000","2,701,786,000","2,522,261,000",,
,International,0,0,0,0,0,,
,Total,"561,998,000","1,927,771,000","2,516,823,000","2,701,786,000","2,522,261,000",,
SHANG,Domenestic,"355,874,000","1,201,012,000","2,186,190,000","2,430,166,000","2,153,389,000",,
,International,0,0,0,0,0,,
,Total,"355,874,000","1,201,012,000","2,186,190,000","2,430,166,000","2,153,389,000",,
SHR,Domenestic,"233,979,080","1,080,807,110","1,748,498,140","1,875,758,950","2,277,872,190",,
,International,"4,278,474,950","7,611,746,740","7,952,581,050","8,476,487,250","8,021,464,230",,
,Total,"4,512,454,030","8,692,553,850","9,701,079,190","10,352,246,200","10,299,336,420",,
VRANDA,Domenestic,"1,307,472,470","1,365,819,620","1,401,608,850","1,536,771,530","1,577,180,770",,
,International,0,0,0,0,0,,
,Total,"1,307,472,470","1,365,819,620","1,401,608,850","1,536,771,530","1,577,180,770",,
,,,,,,,,
Percentage,,,,,,,,
ASIA,Domenestic,81,86,89,90,91,,87.52
,International,19,14,11,10,9,,12.48
,Total,100,100,100,100,100,,100.00
CENTEL,Domenestic,91,92,91,89,86,,89.87
,International,9,8,9,11,14,,10.13
,Total,100,100,100,100,100,,100.00
DUSIT,Domenestic,45,56,60,75,68,,60.91
,International,55,44,40,25,32,,39.09
,Total,100,100,100,100,100,,100.00
ERW,Domenestic,90,92,93,89,88,,90.27
,International,10,8,7,11,12,,9.73
,Total,100,100,100,100,100,,100.00
MANRIN,Domenestic,100,100,100,100,100,,100.00
,International,0,0,0,0,0,,0.00
,Total,100,100,100,100,100,,100.00
MINT,Domenestic,25,21,21,21,20,,21.59
,International,75,79,79,79,80,,78.41
,Total,100,100,100,100,100,,100.00
OHTL,Domenestic,100,100,100,100,100,,100.00
,International,0,0,0,0,0,,0.00
,Total,100,100,100,100,100,,100.00
SHANG,Domenestic,100,100,100,100,100,,100.00
,International,0,0,0,0,0,,0.00
,Total,100,100,100,100,100,,100.00
SHR,Domenestic,5,12,18,18,22,,15.18
,International,95,88,82,82,78,,84.82
,Total,100,100,100,100,100,,100.00
VRANDA,Domenestic,100,100,100,100,100,,100.00
,International,0,0,0,0,0,,0.00
,Total,100,100,100,100,100,,100.00
,,,,,,,,
,INTERNATIONAL,,,,,,,
,DOMESTIC,,,,,,,
