ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
ASIA,2564,Q1,False,161.4207,155.453,-48.4999,145.4437,39.3743,103.5567,9453.5764,5272.2078,-0.3005,-0.0051,-0.0091,78.529,23.0728,63.7345,37.8673,,True,Q1_FS.xls
ASIA,2564,Q2,False,143.6546,150.5483,-58.8896,139.6406,39.4588,86.5767,9433.0526,5225.8042,-0.4099,-0.0062,-0.0112,90.2953,23.8256,57.4638,56.6571,,True,Q2_FS.xls
ASIA,2564,Q3,False,146.7678,137.1574,-37.5533,198.4087,39.7016,92.3838,9416.7265,5220.5275,-0.2559,-0.004,-0.0072,105.9515,26.5489,60.02,72.4804,,True,Q3_FS.xls
ASIA,2564,Q4,False,148.0014,160.4476,-65.6804,134.4474,39.693,82.438,10500.936,6070.5678,-0.4438,-0.0066,-0.0116,103.4542,22.7623,50.121,76.0955,,,
ASIA,2565,Q1,False,173.164,161.7755,-49.9775,140.6628,39.4286,82.7726,10401.72,6056.5105,-0.2886,-0.0048,-0.0082,71.4927,22.0087,45.9555,47.5459,,True,Q1_FS.xls
ASIA,2565,Q2,False,210.5764,179.2808,-35.1436,142.2383,39.9545,100.259,10389.057,6057.9512,-0.1669,-0.0034,-0.0058,61.1275,20.1468,46.4519,34.8223,,True,Q2_FS.xls
ASIA,2565,Q3,False,255.1191,201.105,-25.2802,127.5039,39.4302,109.0545,10415.012,6077.899,-0.0991,-0.0024,-0.0042,48.6367,18.1582,47.8776,18.9172,,True,Q3_FS.xls
ASIA,2565,Q4,False,285.4392,205.8116,-1.8696,137.6796,40.0007,116.1073,10456.5518,6092.0379,-0.0066,-0.0002,-0.0003,42.7357,17.7532,50.3249,10.164,,,
ASIA,2566,Q1,False,299.9658,219.8172,-13.2402,150.6209,40.9245,125.4391,10324.9897,6072.9541,-0.0441,-0.0013,-0.0022,43.25,16.5666,49.4483,10.3683,,True,Q1_FS.xls
ASIA,2566,Q2,False,289.3351,220.3972,-5.8747,143.8846,41.0955,118.8396,10277.7562,6068.1023,-0.0203,-0.0006,-0.001,46.3131,16.9326,50.4302,12.8155,,True,Q2_FS.xls
ASIA,2566,Q3,False,307.8305,223.4946,5.997,149.6624,42.1349,118.1475,10250.0415,6085.3197,0.0195,0.0006,0.001,43.8656,17.1306,48.777,12.2191,,True,Q3_FS.xls
ASIA,2566,Q4,False,291.3503,212.8181,-47.4522,122.0444,43.5387,118.7525,10212.2954,6049.8416,-0.1629,-0.0046,-0.0078,42.8986,18.5181,51.2052,10.2114,,,
ASIA,2567,Q1,False,316.0598,220.3095,0.7217,125.4174,43.1407,123.5575,10195.015,6075.8064,0.0023,0.0001,0.0001,35.2331,17.705,49.4938,3.4443,,True,Q1_FS.xls
ASIA,2567,Q2,False,306.9506,222.2752,-4.1173,115.9707,43.7804,123.9741,10337.1448,6073.5842,-0.0134,-0.0004,-0.0007,35.7815,17.7929,50.67,2.9044,,True,Q2_FS.xls
ASIA,2567,Q3,False,326.3587,241.6473,-4.0961,105.3836,44.8648,122.2089,10147.0933,5982.5796,-0.0126,-0.0004,-0.0007,31.1997,16.8745,46.8634,1.2108,,True,Q3_FS.xlsx
ASIA,2567,Q4,False,325.7402,237.0154,1.8962,87.2792,46.2466,140.7969,10140.7512,6008.7574,0.0058,0.0002,0.0003,27.2072,17.6829,51.0442,-6.154,,,
ASIA,2568,Q1,False,342.6841,233.1898,14.423,83.3637,45.8098,122.0333,10218.2885,6021.921,0.0421,0.0014,0.0024,22.4082,17.7647,50.7199,-10.547,,True,Q1_FS.xls
ASIA,2568,Q2,False,306.2049,233.9883,-14.9731,80.9068,45.7666,118.6004,10013.3875,5951.8987,-0.0489,-0.0015,-0.0025,24.4095,17.8074,46.7922,-4.5753,,True,Q2_FS.xls
ASIA,2568,Q3,False,321.6484,236.6086,-6.092,89.8435,45.9873,119.9902,9975.5818,5943.4917,-0.0189,-0.0006,-0.001,24.4196,17.8382,46.3853,-4.1276,,True,Q3_FS.xls
ASIA,2568,Q4,False,394.0262,238.8158,3.2873,90.5727,46.0018,150.3216,10336.3165,5913.1293,0.0083,0.0003,0.0006,21.0624,17.7187,52.0667,-13.2856,,,
CENTEL,2564,Q1,False,2754.569,1813.043,-480.758,547.528,724.063,1709.627,35606.005,9870.319,-0.1745,-0.0136,-0.0479,17.3476,37.3745,88.9207,-34.1986,,True,Q1_FS.xls
CENTEL,2564,Q2,False,2661.964,1848.835,-634.245,617.865,709.102,2025.123,47682.473,18980.132,-0.2383,-0.0152,-0.044,19.9196,35.2703,91.9125,-36.7226,,True,Q2_FS.xls
CENTEL,2564,Q3,False,2396.598,1757.659,-832.299,636.505,692.58,2231.583,47879.915,18303.915,-0.3473,-0.0174,-0.0446,24.0762,36.6837,111.403,-50.6431,,True,Q3_FS.xls
CENTEL,2564,Q4,False,3715.3747,2193.902,189.9017,801.3616,747.7838,2669.3097,48592.5427,18431.6882,0.0511,0.0039,0.0103,17.8022,30.2004,102.758,-54.7554,,,
CENTEL,2565,Q1,False,3851.608,2285.245,-23.161,1000.029,708.707,2499.627,48299.979,18406.311,-0.006,-0.0005,-0.0013,21.0464,28.6806,101.7843,-52.0574,,True,Q1_FS.xls
CENTEL,2565,Q2,False,4296.949,2518.558,18.661,942.428,761.576,2692.844,48024.246,18618.833,0.0043,0.0004,0.001,20.5685,26.562,93.8066,-46.6762,,True,Q2_FS.xls
CENTEL,2565,Q3,False,4527.85,2669.11,-90.175,1016.611,810.562,2944.464,48487.277,18831.117,-0.0199,-0.0019,-0.0048,19.9026,27.0946,97.1545,-50.1574,,True,Q3_FS.xls
CENTEL,2565,Q4,False,5359.91,3020.8034,509.107,1227.403,1023.8924,3459.7704,48165.5922,18890.7284,0.095,0.0105,0.027,19.2587,27.9346,97.522,-50.3288,,,
CENTEL,2566,Q1,False,5804.619,3049.21,680.935,1302.916,921.844,3104.468,53217.562,19545.804,0.1173,0.0134,0.0354,19.6162,28.715,96.8745,-48.5433,,True,Q1_FS.xls
CENTEL,2566,Q2,False,5171.518,3044.968,99.086,758.174,947.188,2603.264,55207.933,19812.619,0.0192,0.0018,0.005,18.1339,27.9284,85.2888,-39.2266,,True,Q2_FS.xls
CENTEL,2566,Q3,False,5351.553,3120.644,53.971,829.43,994.67,2676.562,53693.546,20005.735,0.0101,0.001,0.0027,13.6465,28.624,77.8275,-35.557,,True,Q3_FS.xls
CENTEL,2566,Q4,False,5933.6798,3495.9385,422.2214,1518.9778,982.4218,3445.3354,54203.6125,20017.9829,0.0712,0.0078,0.0211,18.2057,26.0148,80.5527,-36.3322,,,
CENTEL,2567,Q1,False,6321.691,3335.369,785.318,1316.054,833.05,2946.41,54465.345,21173.536,0.1242,0.0145,0.0381,20.1807,24.4939,86.2359,-41.5612,,True,Q1_FS.xls
CENTEL,2567,Q2,False,5763.953,3275.665,124.139,935.457,781.03,3422.567,56258.126,20811.002,0.0215,0.0022,0.0059,17.7732,22.4201,88.4671,-48.2738,,True,Q2_FS.xls
CENTEL,2567,Q3,False,5539.57,3257.927,150.556,861.291,850.04,3499.966,56536.705,19919.18,0.0272,0.0027,0.0074,14.92,23.0297,97.7421,-59.7923,,True,Q3_FS.xls
CENTEL,2567,Q4,False,6324.3146,3555.4813,636.2611,1207.7371,904.7593,4423.2387,60760.6326,20949.7375,0.1006,0.0108,0.0311,15.0491,22.7032,102.5086,-64.7563,,,
CENTEL,2568,Q1,False,6695.756,3390.386,761.578,1141.727,834.687,3316.245,60445.465,21712.54,0.1137,0.0126,0.0357,15.79,23.0874,102.7248,-63.8475,,True,Q1_FS.xls
CENTEL,2568,Q2,False,5752.002,3359.448,85.859,794.157,818.407,3165.901,61666.464,21693.156,0.0149,0.0014,0.004,15.3134,22.3893,87.7935,-50.0908,,True,Q2_FS.xls
CENTEL,2568,Q3,False,5773.648,3214.825,142.249,815.54,749.963,3237.658,61162.494,21785.05,0.0246,0.0023,0.0065,12.8248,22.4414,91.6267,-56.3605,,True,Q3_FS.xls
CENTEL,2568,Q4,False,6829.5242,3391.9525,974.4597,961.7198,868.2159,3929.7783,62728.0189,22614.472,0.1427,0.0157,0.0439,11.9707,21.9449,97.2013,-63.2856,,,
DUSIT,2564,Q1,False,666.595,508.519,55.029,690.047,57.8,1320.651,22906.168,5018.146,0.0826,0.0024,0.0111,90.6937,10.4955,239.6632,-138.4739,,True,Q1_FS.xlsx
DUSIT,2564,Q2,False,632.841,402.241,-407.99,356.836,61.041,1288.561,23480.262,4598.673,-0.6447,-0.0176,-0.0848,75.2688,13.4429,295.1443,-206.4327,,True,Q2_FS.xlsx
DUSIT,2564,Q3,False,830.933,541.069,-304.231,391.843,60.491,1079.508,23205.748,4270.658,-0.3661,-0.013,-0.0686,41.4465,10.3323,201.3258,-149.5471,,True,Q3_FS.xlsx
DUSIT,2564,Q4,False,1297.049,591.989,-366.781,437.811,64.645,1120.696,23784.095,3894.707,-0.2828,-0.0156,-0.0898,29.4238,9.7236,170.965,-131.8176,,,
DUSIT,2565,Q1,False,1112.198,618.443,-145.62,474.284,62.979,1183.463,23633.973,3745.462,-0.1309,-0.0061,-0.0381,36.9037,9.2864,167.6584,-121.4683,,True,Q1_FS.xlsx
DUSIT,2565,Q2,False,1033.032,646.479,-275.736,468.063,97.569,1340.928,24406.326,3382.117,-0.2669,-0.0115,-0.0774,41.5058,11.2996,177.6698,-124.8645,,True,Q2_FS.xlsx
DUSIT,2565,Q3,False,1257.963,721.753,-183.952,479.575,96.346,1499.649,25174.767,4939.511,-0.1462,-0.0074,-0.0442,34.6523,12.3589,181.0405,-134.0293,,True,Q3_FS.xlsx
DUSIT,2565,Q4,False,1700.886,864.34,58.161,533.587,108.936,1924.155,26229.168,5044.523,0.0342,0.0023,0.0117,27.4007,10.9251,182.2142,-143.8884,,,
DUSIT,2566,Q1,False,1688.672,897.178,11.324,608.309,101.163,1590.817,26120.156,4996.057,0.0067,0.0004,0.0023,30.4294,10.538,176.3014,-135.334,,True,Q1_FS.xlsx
DUSIT,2566,Q2,False,1348.349,772.196,-193.65,551.16,96.155,1583.687,26372.37,4779.847,-0.1436,-0.0074,-0.0396,39.1262,11.6265,187.0509,-136.2981,,True,Q2_FS.xlsx
DUSIT,2566,Q3,False,1415.732,843.255,-253.504,541.537,104.491,1535.035,26866.736,4459.141,-0.1791,-0.0095,-0.0549,35.5039,10.9453,170.1279,-123.6786,,True,Q3_FS.xlsx
DUSIT,2566,Q4,False,1909.087,1100.194,-148.236,588.034,111.339,1963.555,27921.871,4313.116,-0.0776,-0.0054,-0.0338,27.2173,9.024,146.2789,-110.0375,,,
DUSIT,2567,Q1,False,2105.334,1105.459,126.005,696.411,110.28,1958.66,29137.063,4358.869,0.0599,0.0044,0.0291,27.4541,9.0215,159.6619,-123.1863,,True,Q1_FS.xlsx
DUSIT,2567,Q2,False,1561.562,917.935,-136.814,633.355,103.673,1985.955,36091.311,9148.35,-0.0876,-0.0042,-0.0203,38.746,10.6052,195.5258,-146.1746,,True,Q2_FS.xlsx
DUSIT,2567,Q3,False,1441.319,888.69,-571.999,605.209,113.651,1551.973,36535.809,8405.571,-0.3969,-0.0158,-0.0652,39.529,11.249,183.1287,-132.3507,,True,Q3_FS.xlsx
DUSIT,2567,Q4,False,5972.06,4316.017,431.441,1145.08,130.736,1909.206,38270.77,8788.435,0.0722,0.0115,0.0502,13.4817,2.6047,36.8892,-20.8028,,,
DUSIT,2568,Q1,False,2344.842,1355.983,36.15,1319.728,131.598,2054.776,38766.715,8750.937,0.0154,0.0009,0.0041,47.3023,8.7059,131.5497,-75.5416,,True,Q1_FS.xlsx
DUSIT,2568,Q2,False,1709.084,1068.566,-324.379,1178.171,119.126,1621.867,38218.557,8416.257,-0.1898,-0.0084,-0.0378,66.5002,10.6759,156.553,-79.3769,,True,Q2_FS.xlsx
DUSIT,2568,Q3,False,1751.875,1139.186,-422.865,1153.552,124.156,1869.877,38640.11,7941.989,-0.2414,-0.011,-0.0517,61.2254,9.8237,140.9956,-69.9465,,True,Q3_FS.xlsx
DUSIT,2568,Q4,False,3118.196,1814.581,240.259,1482.137,133.654,2068.782,39722.107,8261.867,0.0771,0.0061,0.0297,38.882,6.5355,99.8458,-54.4283,,,
ERW,2564,Q1,False,390.059,315.026,-512.877,66.958,40.275,103.802,21048.98,3439.943,-1.3149,-0.0243,-0.1392,16.5604,12.3536,35.4925,-6.5786,Y,True,Q1_FS.xlsx
ERW,2564,Q2,False,269.132,284.888,-716.788,47.166,38.527,70.728,23603.712,6959.668,-2.6633,-0.0321,-0.1378,19.294,12.5856,27.8745,4.0051,Y,True,Q2_FS.xlsx
ERW,2564,Q3,False,253.762,286.682,-667.617,53.535,37.071,70.03,23296.713,6309.161,-2.6309,-0.0285,-0.1006,18.2543,12.1302,22.5855,7.7989,Y,True,Q3_FS.xlsx
ERW,2564,Q4,False,728.3045,397.5638,-258.09,99.8541,39.3064,142.6759,22450.2128,6022.7191,-0.3544,-0.0113,-0.0419,9.6881,8.8372,24.6111,-6.0857,,,
ERW,2565,Q1,False,646.094,404.82,-324.862,116.99,35.258,106.87,22388.076,5657.401,-0.5028,-0.0145,-0.0556,15.103,8.2886,27.7397,-4.3481,Y,True,Q1_FS.xlsx
ERW,2565,Q2,False,1006.085,519.988,-143.041,115.151,37.341,126.184,21250.682,5551.743,-0.1422,-0.0066,-0.0255,10.4985,6.3526,20.3927,-3.5416,,True,Q2_FS.xlsx
ERW,2565,Q3,False,1289.39,607.211,-5.353,145.022,38.492,142.653,21433.702,5566.029,-0.0042,-0.0003,-0.001,9.2819,5.7448,20.3661,-5.3394,,True,Q3_FS.xlsx
ERW,2565,Q4,False,1775.7185,750.1329,260.1939,159.8053,43.4666,234.5129,21711.8116,5721.6263,0.1465,0.0121,0.0461,7.8966,5.0259,23.1287,-10.2063,,,
ERW,2566,Q1,False,1774.625,775.229,237.391,155.536,37.421,173.704,21482.14,5980.403,0.1338,0.011,0.0406,7.9962,4.6953,23.6959,-11.0043,,True,Q1_FS.xlsx
ERW,2566,Q2,False,1641.935,726.693,143.879,129.797,37.818,150.803,21552.764,6166.695,0.0876,0.0067,0.0237,7.9069,4.7109,20.3182,-7.7003,,True,Q2_FS.xlsx
ERW,2566,Q3,False,1742.8,757.077,155.228,127.605,41.197,180.31,23814.068,6277.706,0.0891,0.0068,0.0249,6.7939,4.801,20.1184,-8.5235,,True,Q3_FS.xlsx
ERW,2566,Q4,False,1886.9297,775.5187,223.3788,169.8269,48.963,226.853,23674.9307,6369.9451,0.1184,0.0094,0.0353,7.2509,5.3479,24.1509,-11.5522,,,
ERW,2567,Q1,False,2119.357,793.662,428.404,150.106,42.976,209.768,23907.039,6831.886,0.2021,0.018,0.0649,6.7931,5.2129,24.7561,-12.7501,,True,Q1_FS.xlsx
ERW,2567,Q2,False,1843.268,809.742,365.506,143.792,40.795,192.776,25567.646,7860.623,0.1983,0.0148,0.0498,7.2547,4.7072,22.6192,-10.6574,,True,Q2_FS.xlsx
ERW,2567,Q3,False,1856.024,812.235,124.49,139.711,41.77,169.55,24928.592,7834.106,0.0671,0.0049,0.0159,7.0264,4.676,20.5199,-8.8176,,True,Q3_FS.xlsx
ERW,2567,Q4,False,2235.2768,860.3459,394.1058,222.4384,42.8166,266.0093,26246.0777,9491.8126,0.1763,0.0154,0.0455,7.4527,4.5226,23.288,-11.3127,,,
ERW,2568,Q1,False,2135.663,836.589,362.736,160.189,41.126,175.013,25917.3,9919.18,0.1698,0.0139,0.0374,8.0622,4.5153,23.7225,-11.145,,True,Q1_FS.xlsx
