ticker,year,DSO_SET,DIO_SET,DPO_SET,CCC_SET,NPM_SET,DE_SET,DSO_CFA,DIO_CFA,DPO_CFA,CCC_CFA,op_revenue,cost_incl_dep,depreciation
ASIA,2568,25.7362,17.8131,12.721,30.8283,-0.0025,0.748,23.7863,17.8605,12.7798,28.867,1284.5364,942.6024,275.5287
CENTEL,2568,14.6543,23.726,116.3351,-77.9548,0.0784,1.7738,15.8048,24.2253,114.1327,-74.1025,23953.9513,13356.6115,3580.3237
DUSIT,2568,68.384,9.0704,181.5821,-104.1277,-0.0528,3.8079,53.7278,8.9714,134.9833,-72.284,7910.915,5378.316,1077.509
ERW,2568,10.7226,4.5159,99.6626,-84.4241,0.114,1.7035,10.4587,4.6512,29.2519,-14.1419,7912.2149,3265.0275,1048.1786
MANRIN,2568,10.6956,2.7959,51.9892,-38.4977,0.1096,0.3544,11.9735,2.7867,60.2001,-45.4399,362.2323,213.7359,34.6265
MINT,2566,44.7756,17.8432,152.761,-90.1423,0.0398,3.1148,,,,,150704.4747,78150.469,20399.9013
MINT,2567,31.3607,16.6445,138.8478,-90.8426,0.052,2.4986,,,,,162597.5232,85910.3616,21447.8472
MINT,2568,35.9546,16.6007,143.6307,-91.0754,0.0593,2.6844,32.8908,16.5925,105.8761,-56.3927,161529.5331,86221.7854,21552.5148
OHTL,2568,15.5381,9.9542,168.0316,-142.5393,0.1242,1.162,13.8469,8.9296,133.3145,-110.5381,2522.2606,1332.588,333.9433
SHANG,2568,15.402,14.6389,147.8774,-117.8366,0.1119,0.1003,14.414,14.8618,129.7306,-100.4547,2133.1514,695.2175,168.5784
SHR,2568,14.3975,14.2075,71.0445,-42.4396,-0.1523,1.4679,15.461,13.8537,57.6882,-28.3735,10299.3364,6279.6396,1198.3972
VRANDA,2568,12.6274,8.5877,104.3477,-83.1327,0.0639,2.0461,12.5393,7.8441,143.1917,-122.8083,1530.2172,866.2241,255.2776
